Chip Run Info;\\pnas1.stockage.inra.fr\vdl-isp\Ibir\Fluidigm\2023_03_28_CGitton\ChipRun.bml;1362900136;96.96 (136x);GE 96x96 Fast PCR+Melt v2;ROX;EvaGreen;28/03/2023 18:35;00:30:37;BIOMARKHD434;SamplePlateName: Undefined;SamplePlateBarCode: Undefined;ReagentPlateName: Undefined;ReagentPlateBarCode: Undefined;;;;;;;;;;;
Application Version;4.7.1;;;;;;;;;;;;;;;;;;;;;;;
Application Build;20200930.1707;;;;;;;;;;;;;;;;;;;;;;;
Export Type;Table Results;;;;;;;;;;;;;;;;;;;;;;;
Quality Threshold;0,65;;;;;;;;;;;;;;;;;;;;;;;
Baseline Correction Method;Linear (Derivative);;;;;;;;;;;;;;;;;;;;;;;
Ct Threshold Method;Auto (Global);;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Experiment Information;Experiment Information;Experiment Information;Experiment Information;Experiment Information;Experiment Information;Experiment Information;Experiment Information;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen
Chamber;Sample;Sample;Sample;Sample;EvaGreen;EvaGreen;EvaGreen;Ct;Ct;Ct;Ct;Delta Ct Sample;Delta Ct Sample;Delta Ct Sample;Delta Ct Reagent;Delta Ct Reagent;Delta Ct Reagent;Delta Delta Ct;Delta Delta Ct;Delta Delta Ct;Delta Delta Ct;Tm;Tm;Tm
ID;Name;Type;rConc;Reference;Name;Type;Reference;Value;Quality;Call;Threshold;Value;Quality;Call;Value;Quality;Call;Value;Fold Change;Quality;Call;In Range;Out Range;Peak Ratio
S81-A80;ADNc-309;Unknown;1;;ABCG2;Test;ACTB,GAPDH,PPIA;12,98487904;1;Pass;0,015433382;999;0;Flag;0,908708915;1;Pass;999;-1;0;Flag;81,8729847;999;1
S15-A80;ADNc-397;Unknown;1;;ABCG2;Test;ACTB,GAPDH,PPIA;16,56244772;1;Pass;0,015433382;999;0;Flag;8,548971354;1;Pass;999;-1;0;Flag;81,82863236;999;1
S80-A80;ADNc-364;Unknown;1;;ABCG2;Test;ACTB,GAPDH,PPIA;16,95372915;1;Pass;0,015433382;999;0;Flag;9,203474535;1;Pass;999;-1;0;Flag;81,87289422;999;1
S14-A80;ADNc-389;Unknown;1;;ABCG2;Test;ACTB,GAPDH,PPIA;11,83177901;1;Pass;0,015433382;999;0;Flag;0,656827735;1;Pass;999;-1;0;Flag;81,91400136;999;1
S79-A80;ADNc-352;Unknown;1;;ABCG2;Test;ACTB,GAPDH,PPIA;11,86665015;1;Pass;0,015433382;999;0;Flag;8,252900567;0,533760149;Flag;999;-1;0;Flag;81,91568462;999;1
S13-A80;ADNc-381;Unknown;1;;ABCG2;Test;ACTB,GAPDH,PPIA;11,34568671;1;Pass;0,015433382;999;0;Flag;1,74453076;1;Pass;999;-1;0;Flag;81,89465041;999;1
S78-A80;ADNc-344;Unknown;1;;ABCG2;Test;ACTB,GAPDH,PPIA;12,08020996;1;Pass;0,015433382;999;0;Flag;7,205531665;0,854505761;Pass;999;-1;0;Flag;81,89585079;999;1
S24-A80;ADNc-ANSES-12;Unknown;1;ADNc-ANSES-1;ABCG2;Test;ACTB,GAPDH,PPIA;18,27099926;0,890771684;Pass;0,015433382;0,360090873;0,890771684;Pass;12,78995814;0,862559147;Pass;1,137732559;0,454473299;0,862559147;Pass;81,82270048;999;1
S77-A80;ADNc-418;Unknown;1;;ABCG2;Test;ACTB,GAPDH,PPIA;13,56441435;1;Pass;0,015433382;999;0;Flag;7,132421019;0,969165982;Pass;999;-1;0;Flag;81,86768059;999;1
S23-A80;ADNc-ANSES-4;Unknown;1;ADNc-ANSES-1;ABCG2;Test;ACTB,GAPDH,PPIA;16,97294083;1;Pass;0,015433382;-0,937967559;1;Pass;10,74235372;0,911977672;Pass;-0,909871856;1,878878605;0,911977672;Pass;81,77040835;999;1
S76-A80;ADNc-410;Unknown;1;;ABCG2;Test;ACTB,GAPDH,PPIA;13,16448505;1;Pass;0,015433382;999;0;Flag;3,862780653;1;Pass;999;-1;0;Flag;81,89434286;999;1
S22-A80;ADNc-321;Unknown;1;;ABCG2;Test;ACTB,GAPDH,PPIA;11,83850539;1;Pass;0,015433382;999;0;Flag;1,594026241;1;Pass;999;-1;0;Flag;81,94513238;999;1
S75-A80;ADNc-402;Unknown;1;;ABCG2;Test;ACTB,GAPDH,PPIA;10,65281343;1;Pass;0,015433382;999;0;Flag;0,772600978;1;Pass;999;-1;0;Flag;81,93596303;999;1
S21-A80;ADNc-367;Unknown;1;;ABCG2;Test;ACTB,GAPDH,PPIA;17,09544152;1;Pass;0,015433382;999;0;Flag;8,916104032;1;Pass;999;-1;0;Flag;81,86623975;999;1
S74-A80;ADNc-394;Unknown;1;;ABCG2;Test;ACTB,GAPDH,PPIA;16,82004702;1;Pass;0,015433382;999;0;Flag;5,583448534;1;Pass;999;-1;0;Flag;81,98064495;999;1
S20-A80;ADNc-355;Unknown;1;;ABCG2;Test;ACTB,GAPDH,PPIA;13,24473423;1;Pass;0,015433382;999;0;Flag;8,292068688;0,843409257;Pass;999;-1;0;Flag;81,88908347;999;1
S73-A80;ADNc-386;Unknown;1;;ABCG2;Test;ACTB,GAPDH,PPIA;10,69488197;1;Pass;0,015433382;999;0;Flag;2,038853256;1;Pass;999;-1;0;Flag;81,94412332;999;1
S19-A80;ADNc-347;Unknown;1;;ABCG2;Test;ACTB,GAPDH,PPIA;10,478813;1;Pass;0,015433382;999;0;Flag;4,626458516;1;Pass;999;-1;0;Flag;81,96906848;999;1
S72-A80;ADNc-ANSES-16;Unknown;1;ADNc-ANSES-3;ABCG2;Test;ACTB,GAPDH,PPIA;16,01036451;0,828860998;Pass;0,015433382;-1,30472697;0,828860998;Pass;10,42211432;0,828860998;Pass;-1,224842245;2,337298906;0,828860998;Pass;81,86618421;999;1
S30-A80;ADNc-340;Unknown;1;;ABCG2;Test;ACTB,GAPDH,PPIA;9,881250294;1;Pass;0,015433382;999;0;Flag;1,77503763;1;Pass;999;-1;0;Flag;81,9655118;999;1
S71-A80;ADNc-ANSES-8;Unknown;1;ADNc-ANSES-2;ABCG2;Test;ACTB,GAPDH,PPIA;18,31494726;0,899360146;Pass;0,015433382;0,096228916;0,851070457;Pass;12,4353512;0,878641357;Pass;-0,16333077;1,119869614;0,851070457;Pass;81,87714084;999;1
S29-A80;ADNc-414;Unknown;1;;ABCG2;Test;ACTB,GAPDH,PPIA;16,33123071;1;Pass;0,015433382;999;0;Flag;7,740940956;1;Pass;999;-1;0;Flag;81,97030651;999;1
S70-A80;ADNc-333;Unknown;1;;ABCG2;Test;ACTB,GAPDH,PPIA;12,12718264;1;Pass;0,015433382;999;0;Flag;0,282882655;1;Pass;999;-1;0;Flag;81,96263217;999;1
