Chip Run Info;\\pnas1.stockage.inra.fr\vdl-isp\Ibir\Fluidigm\2023_03_28_CGitton\ChipRun.bml;1362900136;96.96 (136x);GE 96x96 Fast PCR+Melt v2;ROX;EvaGreen;28/03/2023 18:35;00:30:37;BIOMARKHD434;SamplePlateName: Undefined;SamplePlateBarCode: Undefined;ReagentPlateName: Undefined;ReagentPlateBarCode: Undefined;;;;;;;;;;;
Application Version;4.7.1;;;;;;;;;;;;;;;;;;;;;;;
Application Build;20200930.1707;;;;;;;;;;;;;;;;;;;;;;;
Export Type;Table Results;;;;;;;;;;;;;;;;;;;;;;;
Quality Threshold;0,65;;;;;;;;;;;;;;;;;;;;;;;
Baseline Correction Method;Linear (Derivative);;;;;;;;;;;;;;;;;;;;;;;
Ct Threshold Method;Auto (Global);;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Experiment Information;Experiment Information;Experiment Information;Experiment Information;Experiment Information;Experiment Information;Experiment Information;Experiment Information;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen
Chamber;Sample;Sample;Sample;Sample;EvaGreen;EvaGreen;EvaGreen;Ct;Ct;Ct;Ct;Delta Ct Sample;Delta Ct Sample;Delta Ct Sample;Delta Ct Reagent;Delta Ct Reagent;Delta Ct Reagent;Delta Delta Ct;Delta Delta Ct;Delta Delta Ct;Delta Delta Ct;Tm;Tm;Tm
ID;Name;Type;rConc;Reference;Name;Type;Reference;Value;Quality;Call;Threshold;Value;Quality;Call;Value;Quality;Call;Value;Fold Change;Quality;Call;In Range;Out Range;Peak Ratio
S58-A42;ADNc-332;Unknown;1;;MX1;Test;ACTB,GAPDH,PPIA;14,59810055;1;Pass;0,015433382;999;0;Flag;5,993112563;1;Pass;999;-1;0;Flag;85,66374117;999;1
S40-A42;ADNc-407;Unknown;1;;MX1;Test;ACTB,GAPDH,PPIA;16,16079283;1;Pass;0,015433382;999;0;Flag;5,910237798;1;Pass;999;-1;0;Flag;85,77718694;999;1
S57-A42;ADNc-370;Unknown;1;;MX1;Test;ACTB,GAPDH,PPIA;13,33362055;1;Pass;0,015433382;999;0;Flag;6,192766894;0,996906512;Pass;999;-1;0;Flag;85,75799613;999;1
S39-A42;ADNc-399;Unknown;1;;MX1;Test;ACTB,GAPDH,PPIA;14,26117952;1;Pass;0,015433382;999;0;Flag;4,863140378;1;Pass;999;-1;0;Flag;85,76000597;999;1
S56-A42;ADNc-362;Unknown;1;;MX1;Test;ACTB,GAPDH,PPIA;12,88691646;1;Pass;0,015433382;999;0;Flag;2,69489693;1;Pass;999;-1;0;Flag;85,75759374;999;1
S38-A42;ADNc-391;Unknown;1;;MX1;Test;ACTB,GAPDH,PPIA;13,91781729;1;Pass;0,015433382;999;0;Flag;3,883845209;1;Pass;999;-1;0;Flag;85,78773694;999;1
S55-A42;ADNc-350;Unknown;1;;MX1;Test;ACTB,GAPDH,PPIA;16,91983187;1;Pass;0,015433382;999;0;Flag;7,007092088;1;Pass;999;-1;0;Flag;85,75901574;999;1
S37-A42;ADNc-383;Unknown;1;;MX1;Test;ACTB,GAPDH,PPIA;14,45618562;1;Pass;0,015433382;999;0;Flag;5,550787377;1;Pass;999;-1;0;Flag;85,74192822;999;1
S54-A42;ADNc-342;Unknown;1;;MX1;Test;ACTB,GAPDH,PPIA;9,686596134;1;Pass;0,015433382;999;0;Flag;4,476569022;0,85692299;Pass;999;-1;0;Flag;85,79105174;999;1
S48-A42;ADNc-ANSES-14;Unknown;1;ADNc-ANSES-2;MX1;Test;ACTB,GAPDH,PPIA;12,29335806;1;Pass;0,015433382;0,454398044;1;Pass;6,141067449;0,951337476;Pass;-0,077856193;1,055448506;0,900271744;Pass;85,76419681;999;1
S53-A42;ADNc-416;Unknown;1;;MX1;Test;ACTB,GAPDH,PPIA;12,65704578;1;Pass;0,015433382;999;0;Flag;5,974473554;0,983740237;Pass;999;-1;0;Flag;85,78577894;999;1
S47-A42;ADNc-ANSES-6;Unknown;1;ADNc-ANSES-1;MX1;Test;ACTB,GAPDH,PPIA;12,37526527;0,950516793;Pass;0,015433382;-0,083259011;0,950516793;Pass;6,491662083;0,804790657;Pass;0,291820609;0,816870558;0,804790657;Pass;85,7723429;999;1
S52-A42;ADNc-408;Unknown;1;;MX1;Test;ACTB,GAPDH,PPIA;13,47937097;1;Pass;0,015433382;999;0;Flag;5,209311055;1;Pass;999;-1;0;Flag;85,80800485;999;1
S46-A42;ADNc-327;Unknown;1;;MX1;Test;ACTB,GAPDH,PPIA;999;0;Flag;0,015433382;999;0;Flag;999;0;Flag;999;-1;0;Flag;999;999;0
S51-A42;ADNc-400;Unknown;1;;MX1;Test;ACTB,GAPDH,PPIA;16,76731991;1;Pass;0,015433382;999;0;Flag;6,525238496;1;Pass;999;-1;0;Flag;85,8042136;999;1
S45-A42;ADNc-369;Unknown;1;;MX1;Test;ACTB,GAPDH,PPIA;10,73638416;1;Pass;0,015433382;999;0;Flag;5,344683789;0,875718733;Pass;999;-1;0;Flag;85,83326299;999;1
S50-A42;ADNc-392;Unknown;1;;MX1;Test;ACTB,GAPDH,PPIA;12,9912333;1;Pass;0,015433382;999;0;Flag;5,677228957;1;Pass;999;-1;0;Flag;85,93465279;999;1
S44-A42;ADNc-357;Unknown;1;;MX1;Test;ACTB,GAPDH,PPIA;8,979471719;1;Pass;0,015433382;999;0;Flag;5,161508646;0,60175174;Flag;999;-1;0;Flag;85,93900684;999;1
S49-A42;ADNc-384;Unknown;1;;MX1;Test;ACTB,GAPDH,PPIA;16,17732726;1;Pass;0,015433382;999;0;Flag;6,475749681;1;Pass;999;-1;0;Flag;85,8846397;999;1
S43-A42;ADNc-349;Unknown;1;;MX1;Test;ACTB,GAPDH,PPIA;12,84910674;1;Pass;0,015433382;999;0;Flag;5,572922719;1;Pass;999;-1;0;Flag;86,01594082;999;1
S96-A60;ADNc-ANSES-18;Unknown;1;ADNc-ANSES-3;NCF1;Test;ACTB,GAPDH,PPIA;18,85231402;1;Pass;0,015433382;-0,498644115;0,845626595;Pass;13,1981685;0,92858295;Pass;-0,484654712;1,399250935;0,845626595;Pass;82,37991787;999;1
S06-A60;ADNc-338;Unknown;1;;NCF1;Test;ACTB,GAPDH,PPIA;9,699909936;1;Pass;0,015433382;999;0;Flag;2,50227591;1;Pass;999;-1;0;Flag;82,55997168;999;1
S95-A60;ADNc-ANSES-10;Unknown;1;ADNc-ANSES-1;NCF1;Test;ACTB,GAPDH,PPIA;20,86045403;0,802618656;Pass;0,015433382;2,08789276;0,802618656;Pass;15,01166204;0,776069412;Pass;2,497783576;0,177048487;0,776069412;Pass;82,26454065;999;1
S05-A60;ADNc-412;Unknown;1;;NCF1;Test;ACTB,GAPDH,PPIA;11,08216011;1;Pass;0,015433382;999;0;Flag;1,481519209;1;Pass;999;-1;0;Flag;82,2529457;999;1
S94-A60;ADNc-ANSES-2;Reference;1;;NCF1;Test;ACTB,GAPDH,PPIA;18,79572755;0,894428413;Pass;0,015433382;0;0,894428413;Pass;13,17569117;0,894428413;Pass;0;1;0,894428413;Pass;82,21567476;999;1
S04-A60;ADNc-404;Unknown;1;;NCF1;Test;ACTB,GAPDH,PPIA;13,21389865;1;Pass;0,015433382;999;0;Flag;3,921996417;1;Pass;999;-1;0;Flag;82,13505395;999;1
S93-A60;ADNc-314;Unknown;1;;NCF1;Test;ACTB,GAPDH,PPIA;10,87038587;1;Pass;0,015433382;999;0;Flag;2,724649567;1;Pass;999;-1;0;Flag;82,1705196;999;1
S03-A60;ADNc-396;Unknown;1;;NCF1;Test;ACTB,GAPDH,PPIA;11,03918579;1;Pass;0,015433382;999;0;Flag;2,939018466;1;Pass;999;-1;0;Flag;82,12661308;999;1
S92-A60;ADNc-365;Unknown;1;;NCF1;Test;ACTB,GAPDH,PPIA;8,679388809;1;Pass;0,015433382;999;0;Flag;-1,256614845;1;Pass;999;-1;0;Flag;82,12117356;999;1
S02-A60;ADNc-388;Unknown;1;;NCF1;Test;ACTB,GAPDH,PPIA;11,75399674;1;Pass;0,015433382;999;0;Flag;3,170958825;1;Pass;999;-1;0;Flag;82,15391822;999;1
S91-A60;ADNc-353;Unknown;1;;NCF1;Test;ACTB,GAPDH,PPIA;8,762834332;1;Pass;0,015433382;999;0;Flag;3,899178937;0,876508807;Pass;999;-1;0;Flag;82,12678849;999;1
S01-A60;ADNc-380;Unknown;1;;NCF1;Test;ACTB,GAPDH,PPIA;11,37106783;1;Pass;0,015433382;999;0;Flag;2,148348388;1;Pass;999;-1;0;Flag;82,07493511;999;1
S90-A60;ADNc-345;Unknown;1;;NCF1;Test;ACTB,GAPDH,PPIA;7,422698593;1;Pass;0,015433382;999;0;Flag;2,65734088;0,84645651;Pass;999;-1;0;Flag;82,11962562;999;1
S12-A60;ADNc-ANSES-11;Unknown;1;ADNc-ANSES-1;NCF1;Test;ACTB,GAPDH,PPIA;21,2875647;0,661731422;Pass;0,015433382;2,515003431;0,661731422;Pass;14,91042469;0,661731422;Pass;2,396546229;0,189918687;0,661731422;Pass;82,02230969;999;1
S89-A60;ADNc-419;Unknown;1;;NCF1;Test;ACTB,GAPDH,PPIA;12,22507049;1;Pass;0,015433382;999;0;Flag;2,248797974;1;Pass;999;-1;0;Flag;82,07957846;999;1
S11-A60;ADNc-ANSES-3;Reference;1;;NCF1;Test;ACTB,GAPDH,PPIA;19,35095813;0,845626595;Pass;0,015433382;0;0,845626595;Pass;13,68282321;0,845626595;Pass;0;1;0,845626595;Pass;81,74382286;999;1
S88-A60;ADNc-411;Unknown;1;;NCF1;Test;ACTB,GAPDH,PPIA;11,55255682;1;Pass;0,015433382;999;0;Flag;0,694234953;1;Pass;999;-1;0;Flag;82,08251357;999;1
S10-A60;ADNc-315;Unknown;1;;NCF1;Test;ACTB,GAPDH,PPIA;13,05166155;1;Pass;0,015433382;999;0;Flag;3,657747012;1;Pass;999;-1;0;Flag;82,00918677;999;1
S87-A60;ADNc-403;Unknown;1;;NCF1;Test;ACTB,GAPDH,PPIA;12,57769929;1;Pass;0,015433382;999;0;Flag;3,740736879;1;Pass;999;-1;0;Flag;82,02936358;999;1
S09-A60;ADNc-366;Unknown;1;;NCF1;Test;ACTB,GAPDH,PPIA;8,846336449;1;Pass;0,015433382;999;0;Flag;4,368634316;0,789819989;Pass;999;-1;0;Flag;82,04560144;999;1
S86-A60;ADNc-395;Unknown;1;;NCF1;Test;ACTB,GAPDH,PPIA;10,59851965;1;Pass;0,015433382;999;0;Flag;1,895315688;1;Pass;999;-1;0;Flag;82,09277058;999;1
S08-A60;ADNc-354;Unknown;1;;NCF1;Test;ACTB,GAPDH,PPIA;11,72146713;1;Pass;0,015433382;999;0;Flag;3,96590037;1;Pass;999;-1;0;Flag;82,01411584;999;1
S85-A60;ADNc-387;Unknown;1;;NCF1;Test;ACTB,GAPDH,PPIA;12,21296433;1;Pass;0,015433382;999;0;Flag;2,716697746;1;Pass;999;-1;0;Flag;81,98082989;999;1
S07-A60;ADNc-346;Unknown;1;;NCF1;Test;ACTB,GAPDH,PPIA;6,240963289;1;Pass;0,015433382;999;0;Flag;1,088537234;0,937986486;Pass;999;-1;0;Flag;82,05407108;999;1
S84-A60;ADNc-ANSES-17;Unknown;1;ADNc-ANSES-3;NCF1;Test;ACTB,GAPDH,PPIA;999;0;Flag;0,015433382;999;0;Flag;999;0;Flag;999;-1;0;Flag;999;999;0
S18-A60;ADNc-339;Unknown;1;;NCF1;Test;ACTB,GAPDH,PPIA;11,6010557;1;Pass;0,015433382;999;0;Flag;4,04876614;1;Pass;999;-1;0;Flag;82,06794837;999;1
S83-A60;ADNc-ANSES-9;Unknown;1;ADNc-ANSES-2;NCF1;Test;ACTB,GAPDH,PPIA;21,29528741;0,630587423;Flag;0,015433382;2,49955986;0,630587423;Flag;14,7945459;0,630587423;Flag;1,618854728;0,325593831;0,630587423;Flag;81,97652218;999;1
S17-A60;ADNc-413;Unknown;1;;NCF1;Test;ACTB,GAPDH,PPIA;9,705292451;1;Pass;0,015433382;999;0;Flag;2,296476091;1;Pass;999;-1;0;Flag;82,05270295;999;1
S82-A60;ADNc-ANSES-1;Reference;1;;NCF1;Test;ACTB,GAPDH,PPIA;18,77256127;1;Pass;0,015433382;0;1;Pass;12,51387846;1;Pass;0;1;1;Pass;81,9555201;999;1
S16-A60;ADNc-405;Unknown;1;;NCF1;Test;ACTB,GAPDH,PPIA;16,55839637;1;Pass;0,015433382;999;0;Flag;5,676615427;1;Pass;999;-1;0;Flag;82,0300999;999;1
S81-A60;ADNc-309;Unknown;1;;NCF1;Test;ACTB,GAPDH,PPIA;16,76790615;1;Pass;0,015433382;999;0;Flag;4,691736031;1;Pass;999;-1;0;Flag;82,00331656;999;1
S15-A60;ADNc-397;Unknown;1;;NCF1;Test;ACTB,GAPDH,PPIA;9,958231358;1;Pass;0,015433382;999;0;Flag;1,944754989;1;Pass;999;-1;0;Flag;82,06578297;999;1
S80-A60;ADNc-364;Unknown;1;;NCF1;Test;ACTB,GAPDH,PPIA;13,1324438;1;Pass;0,015433382;999;0;Flag;5,382189185;1;Pass;999;-1;0;Flag;82,00592658;999;1
S14-A60;ADNc-389;Unknown;1;;NCF1;Test;ACTB,GAPDH,PPIA;15,51702269;1;Pass;0,015433382;999;0;Flag;4,342071411;1;Pass;999;-1;0;Flag;82,08610278;999;1
S79-A60;ADNc-352;Unknown;1;;NCF1;Test;ACTB,GAPDH,PPIA;4,712253446;0,904084482;Pass;0,015433382;999;0;Flag;1,098503858;0,533760149;Flag;999;-1;0;Flag;82,09105711;999;1
S13-A60;ADNc-381;Unknown;1;;NCF1;Test;ACTB,GAPDH,PPIA;12,22851917;1;Pass;0,015433382;999;0;Flag;2,627363221;1;Pass;999;-1;0;Flag;82,00808967;999;1
S78-A60;ADNc-344;Unknown;1;;NCF1;Test;ACTB,GAPDH,PPIA;7,852383295;1;Pass;0,015433382;999;0;Flag;2,977705001;0,854505761;Pass;999;-1;0;Flag;82,04978461;999;1
S24-A60;ADNc-ANSES-12;Unknown;1;ADNc-ANSES-1;NCF1;Test;ACTB,GAPDH,PPIA;20,84532705;0,919222058;Pass;0,015433382;2,072765778;0,919222058;Pass;15,36428592;0,862559147;Pass;2,850407465;0,138657017;0,862559147;Pass;82,0885974;999;1
S77-A60;ADNc-418;Unknown;1;;NCF1;Test;ACTB,GAPDH,PPIA;9,262058396;1;Pass;0,015433382;999;0;Flag;2,830065062;0,969165982;Pass;999;-1;0;Flag;82,04617424;999;1
S23-A60;ADNc-ANSES-4;Unknown;1;ADNc-ANSES-1;NCF1;Test;ACTB,GAPDH,PPIA;25,19310597;0,963088916;Pass;0,015433382;6,420544695;0,963088916;Pass;18,96251886;0,911977672;Pass;6,448640398;0,011448954;0,911977672;Pass;79,3611928;999;1
S76-A60;ADNc-410;Unknown;1;;NCF1;Test;ACTB,GAPDH,PPIA;12,10866992;1;Pass;0,015433382;999;0;Flag;2,806965524;1;Pass;999;-1;0;Flag;82,04582648;999;1
S22-A60;ADNc-321;Unknown;1;;NCF1;Test;ACTB,GAPDH,PPIA;11,54485904;1;Pass;0,015433382;999;0;Flag;1,300379887;1;Pass;999;-1;0;Flag;82,05209032;999;1
S75-A60;ADNc-402;Unknown;1;;NCF1;Test;ACTB,GAPDH,PPIA;13,40743962;1;Pass;0,015433382;999;0;Flag;3,527227173;1;Pass;999;-1;0;Flag;82,01320835;999;1
S21-A60;ADNc-367;Unknown;1;;NCF1;Test;ACTB,GAPDH,PPIA;13,5981683;1;Pass;0,015433382;999;0;Flag;5,41883081;1;Pass;999;-1;0;Flag;82,02168433;999;1
S74-A60;ADNc-394;Unknown;1;;NCF1;Test;ACTB,GAPDH,PPIA;13,92542959;1;Pass;0,015433382;999;0;Flag;2,688831095;1;Pass;999;-1;0;Flag;82,06115875;999;1
S20-A60;ADNc-355;Unknown;1;;NCF1;Test;ACTB,GAPDH,PPIA;7,833444272;1;Pass;0,015433382;999;0;Flag;2,880778727;0,843409257;Pass;999;-1;0;Flag;82,06391142;999;1
S73-A60;ADNc-386;Unknown;1;;NCF1;Test;ACTB,GAPDH,PPIA;12,45384628;1;Pass;0,015433382;999;0;Flag;3,797817563;1;Pass;999;-1;0;Flag;82,0277273;999;1
S19-A60;ADNc-347;Unknown;1;;NCF1;Test;ACTB,GAPDH,PPIA;9,614726727;1;Pass;0,015433382;999;0;Flag;3,762372243;1;Pass;999;-1;0;Flag;82,05819531;999;1
S72-A60;ADNc-ANSES-16;Unknown;1;ADNc-ANSES-3;NCF1;Test;ACTB,GAPDH,PPIA;21,18006264;0,818255127;Pass;0,015433382;1,829104506;0,818255127;Pass;15,59181244;0,818255127;Pass;1,908989231;0,266279038;0,818255127;Pass;82,0239099;999;1
S30-A60;ADNc-340;Unknown;1;;NCF1;Test;ACTB,GAPDH,PPIA;11,50020786;1;Pass;0,015433382;999;0;Flag;3,393995197;1;Pass;999;-1;0;Flag;82,05959247;999;1
S71-A60;ADNc-ANSES-8;Unknown;1;ADNc-ANSES-2;NCF1;Test;ACTB,GAPDH,PPIA;20,6838773;0,897883571;Pass;0,015433382;1,888149746;0,894428413;Pass;14,80428123;0,878641357;Pass;1,62859006;0,323404115;0,878641357;Pass;82,06582039;999;1
S29-A60;ADNc-414;Unknown;1;;NCF1;Test;ACTB,GAPDH,PPIA;11,15407117;1;Pass;0,015433382;999;0;Flag;2,563781418;1;Pass;999;-1;0;Flag;82,05452552;999;1
S70-A60;ADNc-333;Unknown;1;;NCF1;Test;ACTB,GAPDH,PPIA;16,35059781;1;Pass;0,015433382;999;0;Flag;4,506297821;1;Pass;999;-1;0;Flag;82,03975914;999;1
S28-A60;ADNc-406;Unknown;1;;NCF1;Test;ACTB,GAPDH,PPIA;13,70665144;1;Pass;0,015433382;999;0;Flag;4,279641904;1;Pass;999;-1;0;Flag;82,02820959;999;1
S69-A60;ADNc-308;Unknown;1;;NCF1;Test;ACTB,GAPDH,PPIA;13,49360551;1;Pass;0,015433382;999;0;Flag;2,015243286;1;Pass;999;-1;0;Flag;82,02691045;999;1
S27-A60;ADNc-398;Unknown;1;;NCF1;Test;ACTB,GAPDH,PPIA;9,906641144;1;Pass;0,015433382;999;0;Flag;2,226947801;1;Pass;999;-1;0;Flag;82,04495668;999;1
S68-A60;ADNc-363;Unknown;1;;NCF1;Test;ACTB,GAPDH,PPIA;9,329699347;1;Pass;0,015433382;999;0;Flag;4,170666756;0,819856806;Pass;999;-1;0;Flag;82,05578698;999;1
S26-A60;ADNc-390;Unknown;1;;NCF1;Test;ACTB,GAPDH,PPIA;11,11622203;1;Pass;0,015433382;999;0;Flag;1,169438817;1;Pass;999;-1;0;Flag;82,08122329;999;1
S67-A60;ADNc-351;Unknown;1;;NCF1;Test;ACTB,GAPDH,PPIA;8,91809892;1;Pass;0,015433382;999;0;Flag;1,398247677;1;Pass;999;-1;0;Flag;82,07012459;999;1
S25-A60;ADNc-382;Unknown;1;;NCF1;Test;ACTB,GAPDH,PPIA;11,74776963;1;Pass;0,015433382;999;0;Flag;3,872662732;1;Pass;999;-1;0;Flag;82,04218467;999;1
S66-A60;ADNc-343;Unknown;1;;NCF1;Test;ACTB,GAPDH,PPIA;7,844059723;1;Pass;0,015433382;999;0;Flag;3,371211773;0,7801451;Pass;999;-1;0;Flag;82,07440277;999;1
S36-A60;ADNc-ANSES-13;Unknown;1;ADNc-ANSES-2;NCF1;Test;ACTB,GAPDH,PPIA;19,06264093;0,824493388;Pass;0,015433382;0,266913379;0,824493388;Pass;12,50085901;0,824493388;Pass;-0,674832165;1,596411044;0,824493388;Pass;81,95236678;999;1
S65-A60;ADNc-417;Unknown;1;;NCF1;Test;ACTB,GAPDH,PPIA;11,24718257;1;Pass;0,015433382;999;0;Flag;2,394010845;1;Pass;999;-1;0;Flag;82,06882412;999;1
S35-A60;ADNc-ANSES-5;Unknown;1;ADNc-ANSES-1;NCF1;Test;ACTB,GAPDH,PPIA;999;0;Flag;0,015433382;999;0;Flag;999;0;Flag;999;-1;0;Flag;999;999;0
S64-A60;ADNc-409;Unknown;1;;NCF1;Test;ACTB,GAPDH,PPIA;12,75752209;1;Pass;0,015433382;999;0;Flag;2,978204586;1;Pass;999;-1;0;Flag;82,04894717;999;1
S34-A60;ADNc-326;Unknown;1;;NCF1;Test;ACTB,GAPDH,PPIA;9,102553929;1;Pass;0,015433382;999;0;Flag;1,59287969;1;Pass;999;-1;0;Flag;82,0436106;999;1
S63-A60;ADNc-401;Unknown;1;;NCF1;Test;ACTB,GAPDH,PPIA;14,98160988;1;Pass;0,015433382;999;0;Flag;3,639946829;1;Pass;999;-1;0;Flag;82,03161186;999;1
S33-A60;ADNc-368;Unknown;1;;NCF1;Test;ACTB,GAPDH,PPIA;9,294632515;1;Pass;0,015433382;999;0;Flag;-1,366850027;1;Pass;999;-1;0;Flag;82,02152637;999;1
S62-A60;ADNc-393;Unknown;1;;NCF1;Test;ACTB,GAPDH,PPIA;11,32787668;1;Pass;0,015433382;999;0;Flag;3,635275462;1;Pass;999;-1;0;Flag;82,06654054;999;1
S32-A60;ADNc-356;Unknown;1;;NCF1;Test;ACTB,GAPDH,PPIA;10,26651734;1;Pass;0,015433382;999;0;Flag;3,668908941;1;Pass;999;-1;0;Flag;82,01884528;999;1
S61-A60;ADNc-385;Unknown;1;;NCF1;Test;ACTB,GAPDH,PPIA;14,14752261;1;Pass;0,015433382;999;0;Flag;3,619971103;1;Pass;999;-1;0;Flag;82,03467547;999;1
S31-A60;ADNc-348;Unknown;1;;NCF1;Test;ACTB,GAPDH,PPIA;14,23380647;1;Pass;0,015433382;999;0;Flag;4,507974012;1;Pass;999;-1;0;Flag;82,00179789;999;1
S60-A60;ADNc-ANSES-15;Unknown;1;ADNc-ANSES-2;NCF1;Test;ACTB,GAPDH,PPIA;999;0;Flag;0,015433382;999;0;Flag;999;0;Flag;999;-1;0;Flag;999;999;0
S42-A60;ADNc-341;Unknown;1;;NCF1;Test;ACTB,GAPDH,PPIA;11,52989175;1;Pass;0,015433382;999;0;Flag;3,446896077;1;Pass;999;-1;0;Flag;82,04407222;999;1
S59-A60;ADNc-ANSES-7;Unknown;1;ADNc-ANSES-2;NCF1;Test;ACTB,GAPDH,PPIA;20,2101797;1;Pass;0,015433382;1,41445215;0,894428413;Pass;12,86835932;1;Pass;-0,307331854;1,237417081;0,894428413;Pass;81,93260748;999;1
S41-A60;ADNc-415;Unknown;1;;NCF1;Test;ACTB,GAPDH,PPIA;13,20863188;1;Pass;0,015433382;999;0;Flag;2,584435858;1;Pass;999;-1;0;Flag;82,04582627;999;1
S58-A60;ADNc-332;Unknown;1;;NCF1;Test;ACTB,GAPDH,PPIA;12,66144324;1;Pass;0,015433382;999;0;Flag;4,056455254;1;Pass;999;-1;0;Flag;81,99125896;999;1
S40-A60;ADNc-407;Unknown;1;;NCF1;Test;ACTB,GAPDH,PPIA;13,89591076;1;Pass;0,015433382;999;0;Flag;3,645355727;1;Pass;999;-1;0;Flag;82,00289042;999;1
S57-A60;ADNc-370;Unknown;1;;NCF1;Test;ACTB,GAPDH,PPIA;12,13757997;1;Pass;0,015433382;999;0;Flag;4,996726319;0,996906512;Pass;999;-1;0;Flag;82,02093162;999;1
S39-A60;ADNc-399;Unknown;1;;NCF1;Test;ACTB,GAPDH,PPIA;11,81841177;1;Pass;0,015433382;999;0;Flag;2,420372631;1;Pass;999;-1;0;Flag;82,03100699;999;1
S56-A60;ADNc-362;Unknown;1;;NCF1;Test;ACTB,GAPDH,PPIA;8,533596401;1;Pass;0,015433382;999;0;Flag;-1,658423128;1;Pass;999;-1;0;Flag;82,03175074;999;1
S38-A60;ADNc-391;Unknown;1;;NCF1;Test;ACTB,GAPDH,PPIA;11,4440829;1;Pass;0,015433382;999;0;Flag;1,410110817;1;Pass;999;-1;0;Flag;82,06552875;999;1
S55-A60;ADNc-350;Unknown;1;;NCF1;Test;ACTB,GAPDH,PPIA;14,64969569;1;Pass;0,015433382;999;0;Flag;4,736955915;1;Pass;999;-1;0;Flag;82,03157534;999;1
S37-A60;ADNc-383;Unknown;1;;NCF1;Test;ACTB,GAPDH,PPIA;14,25777525;1;Pass;0,015433382;999;0;Flag;5,352377008;1;Pass;999;-1;0;Flag;81,96634847;999;1
S54-A60;ADNc-342;Unknown;1;;NCF1;Test;ACTB,GAPDH,PPIA;6,946755442;1;Pass;0,015433382;999;0;Flag;1,736728329;0,85692299;Pass;999;-1;0;Flag;82,06848674;999;1
S48-A60;ADNc-ANSES-14;Unknown;1;ADNc-ANSES-2;NCF1;Test;ACTB,GAPDH,PPIA;999;0;Flag;0,015433382;999;0;Flag;999;0;Flag;999;-1;0;Flag;73,82552512;999;1
S53-A60;ADNc-416;Unknown;1;;NCF1;Test;ACTB,GAPDH,PPIA;10,75842816;1;Pass;0,015433382;999;0;Flag;4,07585593;0,983740237;Pass;999;-1;0;Flag;82,06723495;999;1
S47-A60;ADNc-ANSES-6;Unknown;1;ADNc-ANSES-1;NCF1;Test;ACTB,GAPDH,PPIA;19,99605028;0,919730022;Pass;0,015433382;1,223489011;0,919730022;Pass;14,11244709;0,804790657;Pass;1,598568631;0,330204427;0,804790657;Pass;82,01747159;999;1
S52-A60;ADNc-408;Unknown;1;;NCF1;Test;ACTB,GAPDH,PPIA;10,87993723;1;Pass;0,015433382;999;0;Flag;2,60987731;1;Pass;999;-1;0;Flag;82,08007179;999;1
S46-A60;ADNc-327;Unknown;1;;NCF1;Test;ACTB,GAPDH,PPIA;999;0;Flag;0,015433382;999;0;Flag;999;0;Flag;999;-1;0;Flag;999;999;0
S51-A60;ADNc-400;Unknown;1;;NCF1;Test;ACTB,GAPDH,PPIA;15,73670449;1;Pass;0,015433382;999;0;Flag;5,494623072;1;Pass;999;-1;0;Flag;82,04110743;999;1
S45-A60;ADNc-369;Unknown;1;;NCF1;Test;ACTB,GAPDH,PPIA;8,849479937;1;Pass;0,015433382;999;0;Flag;3,457779563;0,875718733;Pass;999;-1;0;Flag;82,1089075;999;1
S50-A60;ADNc-392;Unknown;1;;NCF1;Test;ACTB,GAPDH,PPIA;10,79509218;1;Pass;0,015433382;999;0;Flag;3,481087835;1;Pass;999;-1;0;Flag;82,2026964;999;1
S44-A60;ADNc-357;Unknown;1;;NCF1;Test;ACTB,GAPDH,PPIA;5,3814297;1;Pass;0,015433382;999;0;Flag;1,563466627;0,60175174;Flag;999;-1;0;Flag;82,2205013;999;1
S49-A60;ADNc-384;Unknown;1;;NCF1;Test;ACTB,GAPDH,PPIA;16,0966983;1;Pass;0,015433382;999;0;Flag;6,395120724;1;Pass;999;-1;0;Flag;82,19153704;999;1
S43-A60;ADNc-349;Unknown;1;;NCF1;Test;ACTB,GAPDH,PPIA;10,67017662;1;Pass;0,015433382;999;0;Flag;3,393992603;1;Pass;999;-1;0;Flag;82,30827508;999;1
S96-A46;ADNc-ANSES-18;Unknown;1;ADNc-ANSES-3;NLRP3;Test;ACTB,GAPDH,PPIA;999;0;Flag;0,015433382;999;0;Flag;999;0;Flag;999;-1;0;Flag;999;999;0
S06-A46;ADNc-338;Unknown;1;;NLRP3;Test;ACTB,GAPDH,PPIA;12,50601718;1;Pass;0,015433382;999;0;Flag;5,308383154;1;Pass;999;-1;0;Flag;83,12489531;999;1
S95-A46;ADNc-ANSES-10;Unknown;1;ADNc-ANSES-1;NLRP3;Test;ACTB,GAPDH,PPIA;24,80138333;1;Pass;0,015433382;0,201699323;1;Pass;18,95259133;0,776069412;Pass;0,611590139;0,654474941;0,776069412;Pass;78,65053451;999;1
